Date,Price,Open,High,Low,Vol.,Change %,,
17-Apr-15,3642.40,3669.05,3680.30,3628.00,8.19K,-0.73%,,
16-Apr-15,3669.05,3688.00,3717.00,3660.00,27.67K,-0.60%,,
15-Apr-15,3691.15,3674.85,3727.00,3653.85,35.87K,0.77%,,
13-Apr-15,3662.85,3667.00,3679.00,3640.00,9.73K,-0.04%,,
10-Apr-15,3664.35,3660.00,3685.00,3633.60,26.07K,0.20%,,
9-Apr-15,3657.10,3632.00,3665.35,3628.45,16.27K,0.83%,,
8-Apr-15,3627.00,3615.00,3664.70,3610.00,22.57K,0.72%,,
7-Apr-15,3601.00,3635.00,3645.95,3580.90,14.89K,-0.71%,,
6-Apr-15,3626.75,3642.00,3670.00,3619.35,21.95K,-0.43%,,
1-Apr-15,3642.55,3700.00,3755.65,3602.00,60.22K,-1.53%,,
31-Mar-15,3699.25,3655.00,3727.30,3655.00,31.02K,1.06%,,
30-Mar-15,3660.30,3615.10,3668.00,3601.45,29.42K,1.33%,,
27-Mar-15,3612.15,3571.00,3623.80,3549.00,22.89K,1.29%,,
26-Mar-15,3566.25,3601.00,3617.85,3548.05,38.81K,-1.36%,,
25-Mar-15,3615.45,3606.00,3626.50,3575.00,24.71K,0.63%,,
24-Mar-15,3592.95,3625.10,3635.00,3568.00,19.72K,0.04%,,
23-Mar-15,3591.40,3620.00,3635.80,3582.70,10.75K,-0.84%,,
20-Mar-15,3621.70,3650.00,3670.00,3610.00,17.04K,-0.97%,,
19-Mar-15,3657.30,3673.00,3695.05,3650.00,29.83K,-0.19%,,
18-Mar-15,3664.40,3660.00,3677.70,3642.00,11.97K,0.05%,,
17-Mar-15,3662.50,3660.00,3690.00,3628.20,15.26K,0.41%,,
16-Mar-15,3647.70,3665.00,3676.40,3637.40,11.41K,-0.08%,,
13-Mar-15,3650.55,3690.00,3715.00,3625.00,44.27K,-0.93%,,
12-Mar-15,3684.85,3660.00,3720.00,3660.00,23.82K,0.81%,,
11-Mar-15,3655.40,3636.55,3673.00,3620.65,19.25K,0.19%,,
10-Mar-15,3648.30,3670.15,3686.45,3638.85,12.12K,-0.63%,,
